Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
554,4,"['OCC_DOY', 'OCC_MONTH_Num', 'Division_Freq', 'LOCATION_Freq']",0.35068798211806484,1.0126805566099226,2880.399762757369,35.06879821180648,0.33616698149202395,1.25383202764597,33.61669814920239,1.3,3
555,4,"['OCC_DOY', 'OCC_MONTH_Num', 'Division_Freq', 'PREMISES_Freq']",0.33766432943686503,1.0512534710723167,2779.8716971646772,33.7664329436865,0.3232261410490965,1.2783424182344096,32.322614104909654,1.2,3
556,4,"['OCC_DOY', 'OCC_MONTH_Num', 'Division_Freq', 'Loca_Premi_Freq']",0.3389299104443946,1.0432801854014844,2787.726556385326,33.892991044439455,0.3267042323224509,1.279462179050473,32.670423232245085,1.1,3
557,4,"['OCC_DOY', 'OCC_MONTH_Num', 'HOOD_Freq', 'LOCATION_Freq']",0.4875083914175745,0.7231451676718903,4408.698414238854,48.75083914175745,0.5124926362372542,0.8486268936616016,51.24926362372542,1.6,3
558,4,"['OCC_DOY', 'OCC_MONTH_Num', 'HOOD_Freq', 'PREMISES_Freq']",0.4790459041896641,0.7418599914162094,4293.471170637333,47.90459041896641,0.5096971658655047,0.8559890893594337,50.969716586550476,1.9,3
559,4,"['OCC_DOY', 'OCC_MONTH_Num', 'HOOD_Freq', 'Loca_Premi_Freq']",0.4831327001868977,0.7400376890280345,4275.489907226514,48.31327001868977,0.5124445517949976,0.857715257362647,51.24445517949976,2.0,3
560,4,"['OCC_DOY', 'OCC_MONTH_Num', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.4775794198111503,0.8105286266280238,4518.935403323186,47.75794198111503,0.5186592392990869,0.8385800725524142,51.86592392990869,1.6,3
561,4,"['OCC_DOY', 'OCC_MONTH_Num', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.48340853742572104,0.7338044015598657,4387.921483689757,48.3408537425721,0.515816492991203,0.845877657040824,51.5816492991203,1.9,3
562,4,"['OCC_DOY', 'OCC_MONTH_Num', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.48735514031648197,0.7318759650659725,4369.402299993384,48.735514031648194,0.5184582847305078,0.8474748908977309,51.84582847305078,2.0,3
563,4,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']",0.3433072357862705,1.016929266074029,2792.9960034139986,34.33072357862705,0.33815591865674216,1.2607587486813294,33.815591865674214,1.3,3
564,4,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']",0.33309837351394744,1.057672945703641,2721.6519636819935,33.30983735139475,0.32991505038734886,1.2842260891746413,32.991505038734886,1.2,3
565,4,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']",0.3386813746208502,1.0503752474538621,2713.7322011359856,33.868137462085016,0.33137767250755135,1.2858755563633804,33.13776725075513,1.1,3
567,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",0.2797032113706191,1.2143028611889686,1923.0877108537252,27.97032113706191,0.27832911471411254,1.4853350813601331,27.832911471411254,1.3,3
568,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",0.27282095206540324,1.2443677298839566,1876.1905725641423,27.282095206540326,0.2681310730929715,1.5099998031857262,26.813107309297152,1.2,3
569,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",0.26888701010963656,1.2589044308637263,1834.388492950723,26.888701010963658,0.26982011460822086,1.5131716996389613,26.982011460822086,1.2,3
570,4,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq']",0.39248422849507686,0.8545053737782962,3974.785940909682,39.24842284950768,0.507020112279243,0.735288205111968,50.7020112279243,0.6,3
571,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",0.276919347613678,1.3661883831753694,1534.563591383284,27.691934761367797,0.44668015465365446,0.8982127783437769,44.66801546536544,1.6,3
572,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",0.2708074370868991,1.241474313307621,1697.2822510212786,27.08074370868991,0.4454819797313038,0.9056918208717437,44.548197973130385,1.9,3
573,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",0.27293124422716725,1.233257579489831,1698.6954426933237,27.293124422716726,0.4481589980534698,0.9100160003138292,44.81589980534698,2.0,3
574,4,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']",0.39618147908967194,0.8438483722062005,4062.369103975111,39.618147908967195,0.512753937473861,0.727045851482577,51.2753937473861,0.5,3
575,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.3030454934934561,1.1541559413149662,2247.0715099513777,30.30454934934561,0.45198327818732104,0.8887033920181037,45.1983278187321,1.6,3
576,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.2679794420536862,1.2678286800194778,1719.1496753496936,26.79794420536862,0.4507589479040867,0.8961166322319184,45.07589479040867,1.9,3
577,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.30221140946268693,1.150950708596402,2246.1825096917896,30.221140946268694,0.45337152255609237,0.9003759073523613,45.33715225560924,2.0,3
579,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",0.28694772622203785,1.1221107591641988,2014.2034329771814,28.694772622203786,0.28233971667153235,1.4825509973811979,28.233971667153234,1.3,3
580,5,"['OCC_DOY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']",0.2778756821182269,1.170281791254086,1950.8059331982856,27.787568211822688,0.27394407308579155,1.5072894825255125,27.394407308579154,1.2,3
